IP адрес	Порт	Страна, Город	Скорость	Тип	Анонимность	Последнее обновление
138.68.60.8	3128	United States Santa Clara	5100 мс	HTTP	Высокая	17 секунд
138.68.60.8	8080	United States Santa Clara	5100 мс	HTTP	Высокая	18 секунд
103.107.92.1	52827	India New Delhi	3260 мс	HTTP	Высокая	21 секунда
138.68.240.218	8080	United States Santa Clara	780 мс	HTTP	Высокая	37 секунд
138.68.161.14	8080	United Kingdom London	320 мс	HTTP	Высокая	38 секунд
81.18.34.98	42535	Kazakstan	5100 мс	HTTP	Высокая	56 секунд
36.92.114.210	8081	Indonesia Bekasi	4720 мс	HTTP	Нет	1 минута
36.84.100.165	34432	Indonesia Surabaya	5100 мс	SOCKS4	Высокая	1 минута
79.132.205.34	61731	Iran	1980 мс	SOCKS4	Высокая	1 минута
190.171.218.40	56220	Bolivia Santa Cruz	4360 мс	SOCKS4	Высокая	1 минута
165.139.252.55	8080	United States Kokomo	620 мс	HTTP	Нет	1 минута
177.190.170.11	60120	Brazil An?polis	4500 мс	SOCKS4	Высокая	1 минута
200.212.2.71	61283	Brazil	4460 мс	SOCKS4	Высокая	1 минута
200.80.227.234	4145	Argentina Buenos Aires	1540 мс	SOCKS4	Высокая	1 минута
91.98.108.189	4145	Iran	4300 мс	SOCKS4	Высокая	1 минута
176.235.99.114	43919	Turkey Bursa	2520 мс	SOCKS4	Высокая	1 минута
202.62.11.106	8080	Indonesia Jakarta	2620 мс	HTTP	Нет	1 минута
197.221.90.54	56810	Ghana	780 мс	SOCKS4	Высокая	1 минута
174.70.241.14	24392	United States	4800 мс	SOCKS4	Высокая	1 минута
103.210.142.54	4145	India Hosur	2160 мс	SOCKS4	Высокая	1 минута
96.82.74.129	34032	United States Windsor	1100 мс	SOCKS4	Высокая	1 минута
170.80.91.5	4145	Costa Rica	2060 мс	SOCKS4	Высокая	1 минута
103.251.225.18	35101	India	5100 мс	HTTP	Высокая	1 минута
174.70.241.10	4145	United States	5100 мс	SOCKS4, SOCKS5	Высокая	1 минута
181.15.154.156	52033	Argentina San Salvador	4600 мс	SOCKS4	Высокая	1 минута
66.135.227.178	4145	United States Honolulu	5100 мс	SOCKS5	Высокая	1 минута
91.206.148.243	59175	Russian Federation	260 мс	SOCKS4	Высокая	1 минута
154.127.38.1	60020	Benin Cotonou	2980 мс	HTTP	Высокая	1 минута
174.76.48.230	4145	United States	4540 мс	SOCKS4, SOCKS5	Высокая	1 минута
43.227.135.214	4145	India Aizawl	1040 мс	SOCKS4	Высокая	1 минута
45.175.64.170	4145	Honduras San Pedro Sula	2020 мс	SOCKS4	Высокая	1 минута
111.90.179.74	8080	Cambodia	4520 мс	HTTP	Нет	1 минута
92.242.255.47	31024	Croatia Gornji Kneginec	3540 мс	SOCKS4	Высокая	1 минута
121.241.90.242	52115	India Pune	920 мс	SOCKS4	Высокая	1 минута
